identifier,title,date,year,creator,mediatype,item_url,metadata_url
cochwy-Cheyenne_Police_Department_Officer_Swearing_In_Ceremony,Cheyenne Police Department Officer Swearing In Ceremony,2018-07-16T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Police_Department_Officer_Swearing_In_Ceremony,https://archive.org/metadata/cochwy-Cheyenne_Police_Department_Officer_Swearing_In_Ceremony
cochwy-1931_LaFrance_Fire_Truck,1931 LaFrance Fire Truck,2018-07-23T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-1931_LaFrance_Fire_Truck,https://archive.org/metadata/cochwy-1931_LaFrance_Fire_Truck
cochwy-Medicine_Bow_National_Forest_Landscape_Vegetation_Analysis_LaVA,Medicine Bow National Forest Landscape Vegetation Analysis (LaVA),2018-07-24T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Medicine_Bow_National_Forest_Landscape_Vegetation_Analysis_LaVA,https://archive.org/metadata/cochwy-Medicine_Bow_National_Forest_Landscape_Vegetation_Analysis_LaVA
cochwy-City_Council_Meeting_8_13_18,City Council Meeting (8/13/18),2018-08-14T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_8_13_18,https://archive.org/metadata/cochwy-City_Council_Meeting_8_13_18
cochwy-Clark_Bell_Gets_New_Home_At_Cheyenne_Fire_Rescue_Station_2_at_514_West_Fox_Farm_Road,Clark Bell Gets New Home At Cheyenne Fire Rescue Station #2 at 514 West Fox Farm Road,2018-08-16T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Clark_Bell_Gets_New_Home_At_Cheyenne_Fire_Rescue_Station_2_at_514_West_Fox_Farm_Road,https://archive.org/metadata/cochwy-Clark_Bell_Gets_New_Home_At_Cheyenne_Fire_Rescue_Station_2_at_514_West_Fox_Farm_Road
cochwy-Back_To_School_Safety_Message_From_Cheyenne_Fire_Rescue,Back To School Safety Message From Cheyenne Fire Rescue,2018-08-27T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Back_To_School_Safety_Message_From_Cheyenne_Fire_Rescue,https://archive.org/metadata/cochwy-Back_To_School_Safety_Message_From_Cheyenne_Fire_Rescue
cochwy-Cheyenne_firefighters_at_Fire_Truck_Pull_Challenge,Cheyenne firefighters at Fire Truck Pull Challenge,2018-08-27T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_firefighters_at_Fire_Truck_Pull_Challenge,https://archive.org/metadata/cochwy-Cheyenne_firefighters_at_Fire_Truck_Pull_Challenge
cochwy-City_Council_Meeting_8_27_18,City Council Meeting (8/27/18),2018-08-28T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_8_27_18,https://archive.org/metadata/cochwy-City_Council_Meeting_8_27_18
cochwy-Clark_Hose_Company_Bell_Rededication_Invite,Clark Hose Company Bell Rededication Invite,2018-08-29T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Clark_Hose_Company_Bell_Rededication_Invite,https://archive.org/metadata/cochwy-Clark_Hose_Company_Bell_Rededication_Invite
cochwy-Cheyenne_Fire_Rescue_MDA_Fill_The_Boot_Campaign,Cheyenne Fire Rescue MDA Fill The Boot Campaign,2018-08-31T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Fire_Rescue_MDA_Fill_The_Boot_Campaign,https://archive.org/metadata/cochwy-Cheyenne_Fire_Rescue_MDA_Fill_The_Boot_Campaign
